N,P,K,temperature,humidity,ph,rainfall,label
90.00,42.00,43.00,20.88,82.00,6.50,202.94,rice
85.00,58.00,41.00,21.77,80.32,7.04,226.66,rice
60.00,55.00,44.00,23.00,82.32,7.84,263.96,rice
74.00,35.00,40.00,26.49,80.16,6.98,242.86,rice
78.00,42.00,42.00,20.13,81.60,7.63,262.72,rice
69.00,37.00,42.00,23.06,83.37,7.07,251.05,rice
69.00,55.00,38.00,22.71,82.64,5.70,271.32,rice
94.00,53.00,40.00,20.28,82.89,5.72,241.97,rice
89.00,54.00,38.00,24.52,83.54,6.69,230.45,rice
68.00,58.00,38.00,23.22,83.03,6.34,221.21,rice
91.00,53.00,40.00,26.53,81.42,5.39,264.61,rice
90.00,46.00,42.00,23.98,81.45,7.50,250.08,rice
78.00,58.00,44.00,26.80,80.89,5.11,284.44,rice
93.00,56.00,36.00,24.01,82.06,6.98,185.28,rice
94.00,50.00,37.00,25.67,80.66,6.95,209.59,rice
60.00,48.00,39.00,24.28,80.30,7.04,231.09,rice
85.00,38.00,41.00,21.59,82.79,6.25,276.66,rice
91.00,35.00,39.00,23.79,80.42,6.97,206.26,rice
77.00,38.00,36.00,21.87,80.19,5.95,224.56,rice
88.00,35.00,40.00,23.58,83.59,5.85,291.30,rice
89.00,45.00,36.00,21.33,80.47,6.44,185.50,rice
76.00,40.00,43.00,25.16,83.12,5.07,231.38,rice
67.00,59.00,41.00,21.95,80.97,6.01,213.36,rice
83.00,41.00,43.00,21.05,82.68,6.25,233.11,rice
98.00,47.00,37.00,23.48,81.33,7.38,224.06,rice
66.00,53.00,41.00,25.08,80.52,7.78,257.00,rice
97.00,59.00,43.00,26.36,84.04,6.29,271.36,rice
97.00,50.00,41.00,24.53,80.54,7.07,260.26,rice
60.00,49.00,44.00,20.78,84.50,6.24,240.08,rice
84.00,51.00,35.00,22.30,80.64,6.04,197.98,rice
73.00,57.00,41.00,21.45,84.94,5.82,272.20,rice
92.00,35.00,40.00,22.18,80.33,6.36,200.09,rice
85.00,37.00,39.00,24.53,82.74,6.36,224.68,rice
98.00,53.00,38.00,20.27,81.64,5.01,270.44,rice
88.00,54.00,44.00,25.74,83.88,6.15,233.13,rice
95.00,55.00,42.00,26.80,82.15,5.95,193.35,rice
99.00,57.00,35.00,26.76,81.18,5.96,272.30,rice
95.00,39.00,36.00,23.86,83.15,5.56,285.25,rice
60.00,43.00,44.00,21.02,82.95,7.42,298.40,rice
63.00,44.00,41.00,24.17,83.73,5.58,257.03,rice
62.00,42.00,36.00,22.78,82.07,6.43,248.72,rice
64.00,45.00,43.00,25.63,83.53,5.53,209.90,rice
83.00,60.00,36.00,25.60,80.15,6.90,200.83,rice
82.00,40.00,40.00,23.83,84.81,6.27,298.56,rice
85.00,52.00,45.00,26.31,82.37,7.22,265.54,rice
91.00,35.00,38.00,24.90,80.53,6.13,183.68,rice
76.00,49.00,42.00,24.96,84.48,5.21,196.96,rice
74.00,39.00,38.00,23.24,84.59,7.78,233.05,rice
79.00,43.00,39.00,21.67,80.71,7.06,210.81,rice
88.00,55.00,45.00,24.64,80.41,7.73,253.72,rice
60.00,36.00,43.00,23.43,83.06,5.29,219.90,rice
76.00,60.00,39.00,20.05,80.35,6.77,208.58,rice
93.00,56.00,42.00,23.86,82.23,7.38,195.09,rice
65.00,60.00,43.00,21.97,81.90,5.66,227.36,rice
95.00,52.00,36.00,26.23,83.84,5.54,286.51,rice
75.00,38.00,39.00,23.45,84.79,6.22,283.93,rice
74.00,54.00,38.00,25.66,83.47,7.12,217.38,rice
91.00,36.00,45.00,24.44,82.45,5.95,267.98,rice
71.00,46.00,40.00,20.28,82.12,7.24,191.95,rice
99.00,55.00,35.00,21.72,80.24,6.50,277.96,rice
72.00,40.00,38.00,20.41,82.21,7.59,245.15,rice
83.00,58.00,45.00,25.76,83.52,5.88,245.66,rice
93.00,58.00,38.00,20.62,83.77,6.93,279.55,rice
70.00,36.00,42.00,21.84,80.73,6.95,202.38,rice
76.00,47.00,42.00,20.08,83.29,5.74,263.64,rice
99.00,41.00,36.00,24.46,82.75,6.74,182.56,rice
99.00,54.00,37.00,21.14,80.34,5.59,198.67,rice
86.00,59.00,35.00,25.79,82.11,6.95,243.51,rice
69.00,46.00,41.00,23.64,80.29,5.01,263.11,rice
91.00,56.00,37.00,23.43,80.57,6.36,269.50,rice
61.00,52.00,41.00,24.98,83.89,6.88,204.80,rice
67.00,45.00,38.00,22.73,82.17,7.30,260.89,rice
79.00,42.00,37.00,24.87,82.84,6.59,295.61,rice
78.00,43.00,42.00,21.32,83.00,7.28,192.32,rice
75.00,54.00,36.00,26.29,84.57,7.02,257.49,rice
97.00,36.00,45.00,22.23,81.86,6.94,278.08,rice
67.00,47.00,44.00,26.73,81.79,7.87,280.40,rice
73.00,35.00,38.00,24.89,81.98,5.01,185.95,rice
77.00,36.00,37.00,26.88,81.46,6.14,194.58,rice
81.00,41.00,38.00,22.68,83.73,7.52,200.91,rice
68.00,57.00,43.00,26.09,80.38,5.71,182.90,rice
72.00,45.00,35.00,25.43,82.95,5.76,195.36,rice
61.00,53.00,43.00,26.40,81.06,6.35,223.37,rice
67.00,43.00,39.00,26.04,84.97,6.00,186.75,rice
67.00,58.00,39.00,25.28,80.54,5.45,220.12,rice
66.00,60.00,38.00,22.09,83.47,6.37,231.74,rice
82.00,43.00,38.00,23.29,81.43,5.11,242.32,rice
84.00,50.00,44.00,25.49,81.41,5.94,182.65,rice
81.00,53.00,42.00,23.68,81.04,5.18,233.70,rice
91.00,50.00,40.00,20.82,84.13,6.46,230.22,rice
93.00,53.00,38.00,26.93,81.91,7.07,290.68,rice
90.00,44.00,38.00,23.84,83.88,7.47,241.20,rice
81.00,45.00,35.00,26.53,80.12,6.16,218.92,rice
78.00,40.00,38.00,26.46,83.86,7.55,248.23,rice
60.00,51.00,36.00,22.70,82.81,6.03,257.00,rice
88.00,46.00,42.00,22.68,83.46,6.60,194.27,rice
93.00,47.00,37.00,21.53,82.14,6.50,295.92,rice
60.00,55.00,45.00,21.41,83.33,5.94,287.58,rice
78.00,35.00,44.00,26.54,84.67,7.07,183.62,rice
65.00,37.00,40.00,23.36,83.60,5.33,188.41,rice
71.00,54.00,16.00,22.61,63.69,5.75,87.76,maize
61.00,44.00,17.00,26.10,71.57,6.93,102.27,maize
80.00,43.00,16.00,23.56,71.59,6.66,66.72,maize
73.00,58.00,21.00,19.97,57.68,6.60,60.65,maize
61.00,38.00,20.00,18.48,62.70,5.97,65.44,maize
68.00,41.00,16.00,21.78,57.81,6.16,102.09,maize
93.00,41.00,17.00,25.62,66.50,6.05,105.47,maize
89.00,60.00,19.00,25.19,66.69,5.91,78.07,maize
76.00,44.00,17.00,20.42,62.55,5.86,65.28,maize
67.00,60.00,25.00,24.92,66.79,5.75,109.22,maize
70.00,44.00,19.00,23.32,73.45,5.85,94.30,maize
90.00,49.00,21.00,24.84,68.36,6.47,74.05,maize
62.00,52.00,16.00,22.28,58.84,6.97,63.87,maize
92.00,44.00,16.00,18.88,65.77,6.08,94.76,maize
66.00,54.00,21.00,25.19,60.20,5.92,72.12,maize
63.00,58.00,22.00,18.25,55.28,6.20,63.72,maize
70.00,47.00,17.00,24.61,70.42,6.60,104.16,maize
61.00,41.00,17.00,25.14,65.26,6.02,76.68,maize
66.00,53.00,19.00,23.09,60.12,6.03,65.50,maize
74.00,55.00,19.00,18.05,62.89,6.29,84.24,maize
77.00,57.00,21.00,24.93,73.80,6.55,79.74,maize
99.00,50.00,15.00,18.15,71.09,5.57,88.08,maize
74.00,56.00,22.00,18.28,66.66,6.83,80.98,maize
83.00,45.00,21.00,18.83,58.75,5.72,79.75,maize
100.00,48.00,16.00,25.72,67.22,5.55,74.51,maize
79.00,51.00,16.00,25.34,68.50,6.59,96.46,maize
94.00,39.00,18.00,23.89,57.49,5.89,102.83,maize
75.00,49.00,15.00,21.54,71.51,5.92,102.49,maize
78.00,48.00,22.00,23.09,63.10,5.59,70.43,maize
87.00,54.00,20.00,25.62,63.47,6.58,108.83,maize
87.00,35.00,25.00,21.45,63.16,6.18,65.89,maize
63.00,43.00,19.00,18.52,55.53,6.64,90.99,maize
84.00,57.00,25.00,22.54,67.99,6.49,64.41,maize
64.00,35.00,23.00,23.02,61.89,5.68,63.04,maize
60.00,46.00,22.00,24.89,65.61,6.63,87.93,maize
